Incident_year,Incident_month,State,Latitude,Longitude,Victim_injury,Provoked_unprovoked,Victim_activity,Shark_common_name,Victim_gender
1895,11,NSW,-35.13333333,150.75,fatal,provoked,Surfing/Boarding,whaler shark,male
1895,12,QLD,-10.56666667,142.2166667,uninjured,provoked,Spearfishing,tiger shark,male
1895,12,NSW,-33.85,151.15,fatal,unprovoked,Fishing,bull shark,male
1896,1,NSW,-33.86666667,151.1833333,fatal,unprovoked,Surfing/Boarding,bull shark,male
1896,11,WA,-33.85,121.8833333,fatal,unprovoked,Fishing,white shark,male
1897,1,NSW,-31.06666667,152.8333333,injured,unprovoked,Surfing/Boarding,bull shark,male
1897,12,QLD,-9.95,142.1833333,injured,unprovoked,Swimming,tiger shark,male
1898,9,NSW,-32.71666667,152.1166667,injured,provoked,Surfing/Boarding,bull shark,male
1898,12,QLD,-27.46666667,153.2166667,injured,provoked,Wading,whaler shark,male
1899,2,NSW,-33.78333333,151.2166667,injured,unprovoked,Surfing/Boarding,bull shark,male
1899,12,QLD,-27.55,153.1833333,injured,unprovoked,Swimming,bull shark,male
1900,1,NSW,-33.85,151.15,injured,unprovoked,Swimming,bull shark,male
1900,1,NT,-11.6,130.95,injured,unprovoked,Surfing/Boarding,tiger shark,male
1900,9,QLD,-19.25,146.8166667,injured,unprovoked,Surfing/Boarding,tiger shark,male
1900,11,QLD,-10.55,142.3833333,fatal,provoked,Surfing/Boarding,Unknown,male
1900,12,NSW,-33.78333333,151.2333333,fatal,unprovoked,Swimming,bull shark,male
1901,1,NT,-11.6,130.95,injured,unprovoked,Fishing,tiger shark,male
1901,1,QLD,-27.46666667,153,fatal,unprovoked,Swimming,bull shark,male
1901,2,QLD,-16.85,145.75,injured,provoked,Surfing/Boarding,wobbegong,male
1901,4,QLD,-10.56666667,142.2166667,injured,provoked,Swimming,tiger shark,male
1901,4,QLD,-10.56666667,142.2166667,injured,provoked,Surfing/Boarding,tiger shark,male
1901,12,QLD,-27.46666667,153,injured,unprovoked,Surfing/Boarding,bull shark,male
1902,1,QLD,-27.48333333,153,injured,unprovoked,Diving/Snorkelling,bull shark,male
1902,1,QLD,-27.43333333,153.1666667,injured,provoked,Surfing/Boarding,whaler shark,male
1903,1,NSW,-33.81666667,151.15,fatal,unprovoked,Swimming,bull shark,male
1903,2,NSW,-36.63333333,150,uninjured,provoked,Diving/Snorkelling,bull shark,male
1903,3,QLD,-27.7,153.2833333,fatal,unprovoked,Fishing,bull shark,male
1903,5,NSW,-34.66666667,150.85,uninjured,provoked,Surfing/Boarding,whaler shark,male
1904,3,QLD,-27.41666667,153.1166667,injured,unprovoked,Fishing,bull shark,male
1905,3,NSW,-28.8,153.2666667,injured,unprovoked,Surfing/Boarding,bull shark,male
1905,12,QLD,-10.2,142.15,fatal,provoked,Fishing,tiger shark,male
1906,1,NSW,-33.98333333,151.0666667,fatal,unprovoked,Surfing/Boarding,bull shark,male
1906,4,QLD,-14.66666667,145.45,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1906,8,QLD,-9.95,142.1666667,fatal,provoked,Surfing/Boarding,tiger shark,male
1906,12,NSW,-35.7,150.1833333,uninjured,unprovoked,Surfing/Boarding,wobbegong,male
1907,2,QLD,-19.25,146.8166667,fatal,unprovoked,Swimming,bull shark,male
1907,8,WA,-28.85,113.9,injured,provoked,Surfing/Boarding,tiger shark,male
1907,10,NSW,-32.93333333,151.75,injured,unprovoked,Surfing/Boarding,white shark,male
1907,12,NSW,-33.78333333,151.2333333,fatal,unprovoked,Diving/Snorkelling,bull shark,male
1909,1,NSW,-33.48333333,151.3,injured,unprovoked,Diving/Snorkelling,bull shark,male
1910,1,NSW,-32.9,151.7666667,fatal,unprovoked,Swimming,bull shark,male
1910,2,WA,-33.31666667,115.6166667,injured,unprovoked,Kayaking/Paddling,white shark,male
1910,3,WA,-34.36666667,115.1166667,uninjured,unprovoked,Diving/Snorkelling,Unknown,male
1910,11,QLD,-21.16666667,149.2333333,injured,unprovoked,Diving/Snorkelling,Unknown,male
1911,2,WA,-20.38333333,116.8666667,uninjured,unprovoked,Fishing,tiger shark,male
1911,3,QLD,-10.56666667,142.2166667,fatal,unprovoked,Wading,tiger shark,male
1911,10,QLD,-15.48333333,145.4,injured,provoked,Spearfishing,tiger shark,male
1912,1,NSW,-33.83333333,151.1666667,injured,unprovoked,Spearfishing,dusky shark,male
1912,1,NSW,-33.81666667,151.15,fatal,unprovoked,Surfing/Boarding,bull shark,male
1912,1,QLD,-19.45,146.6,fatal,unprovoked,Spearfishing,bull shark,male
1912,2,WA,-33.31666667,115.6333333,uninjured,provoked,Swimming,wobbegong,male
1912,2,SA,-37.58333333,140.3333333,injured,provoked,Swimming,white shark,male
1912,2,NSW,-33.91666667,151.25,injured,unprovoked,Swimming,white shark,male
1912,11,QLD,-27.31666667,153.05,injured,unprovoked,Surfing/Boarding,tiger shark,male
1913,3,QLD,-10.56666667,142.2166667,injured,provoked,Other,tiger shark,male
1913,5,NSW,-29.4,153.3333333,injured,provoked,Surfing/Boarding,bull shark,male
1913,6,QLD,-10.2,142.15,injured,provoked,Swimming,Unknown,male
1913,11,QLD,-27.31666667,153.05,injured,unprovoked,Kayaking/Paddling,tiger shark,male
1913,12,SA,-35.05,138.45,injured,unprovoked,Wading,white shark,male
1914,1,NSW,-33.85,151.15,uninjured,unprovoked,Swimming,bull shark,male
1914,1,QLD,-27.31666667,153.05,injured,unprovoked,Surfing/Boarding,wobbegong,female
1914,2,NSW,-33.83333333,151.0666667,injured,unprovoked,Surfing/Boarding,bull shark,male
1914,2,SA,-35.23333333,136.9666667,injured,provoked,Swimming,wobbegong,male
1914,4,NSW,-29.43333333,153.1833333,injured,provoked,Swimming,bull shark,male
1914,6,VIC,-37.95,145,fatal,unprovoked,Swimming,white shark,male
1914,12,QLD,-19.16666667,146.8333333,injured,unprovoked,Swimming,Unknown,male
1914,12,WA,-31.98333333,115.7333333,injured,provoked,Swimming,wobbegong,male
1915,1,NSW,-33.83333333,151.2333333,fatal,unprovoked,Surfing/Boarding,bull shark,male
1915,2,QLD,-27.26666667,153.2166667,injured,unprovoked,Surfing/Boarding,wobbegong,male
1915,11,NSW,-33.78333333,151.2833333,injured,unprovoked,Wading,whaler shark,male
1915,11,QLD,-27.31666667,153.0666667,injured,unprovoked,Kayaking/Paddling,bull shark,male
1916,2,TAS,-41.05,145.75,uninjured,provoked,Surfing/Boarding,wobbegong,male
1916,3,NSW,-33.76666667,151.2833333,injured,unprovoked,Diving/Snorkelling,white shark,male
1916,11,QLD,-19.23333333,146.8,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1916,11,QLD,-19.23333333,146.8166667,fatal,unprovoked,Kayaking/Paddling,tiger shark,male
1916,11,WA,-20,119.3666667,injured,provoked,Surfing/Boarding,tiger shark,male
1916,11,WA,-20,119.3333333,fatal,provoked,Spearfishing,tiger shark,male
1916,12,NSW,-33.78333333,151.2166667,fatal,unprovoked,Swimming,bull shark,male
1916,12,QLD,-23.11666667,150.75,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1917,6,QLD,-27.23333333,153.2166667,injured,provoked,Surfing/Boarding,whaler shark,male
1917,12,WA,-20.3,118.5833333,injured,unprovoked,Surfing/Boarding,tiger shark,male
1918,1,NSW,-32.66666667,152.15,injured,provoked,Spearfishing,wobbegong,male
1918,3,NSW,-32.91666667,151.7833333,injured,unprovoked,Swimming,white shark,male
1918,3,QLD,-28.15,153.5166667,injured,provoked,Wading,wobbegong,male
1918,3,NSW,-28.15,153.1,injured,unprovoked,Surfing/Boarding,tiger shark,male
1918,4,NSW,-26.41666667,150.0666667,uninjured,provoked,Surfing/Boarding,wobbegong,male
1918,4,NSW,-33.86666667,151.2,uninjured,unprovoked,Surfing/Boarding,bull shark,male
1918,9,QLD,-19.25,146.8166667,fatal,unprovoked,Swimming,tiger shark,male
1918,11,QLD,-16.7,146.05,fatal,provoked,Swimming,tiger shark,male
1919,1,NSW,-32.91666667,151.7833333,injured,unprovoked,Surfing/Boarding,white shark,male
1919,1,NSW,-33.83333333,151.2333333,fatal,unprovoked,Kayaking/Paddling,bull shark,male
1919,1,QLD,-19.45,146.6,fatal,unprovoked,Surfing/Boarding,bull shark,male
1919,12,QLD,-27.08333333,153.45,injured,provoked,Diving/Snorkelling,wobbegong,male
1919,12,NSW,-30.91666667,153.0166667,fatal,unprovoked,Fishing,bull shark,male
1920,1,NSW,-32.9,151.75,fatal,unprovoked,Surfing/Boarding,bull shark,male
1920,2,NSW,-33.33333333,151.5,uninjured,provoked,Surfing/Boarding,wobbegong,male
1920,3,QLD,-19.25,146.8166667,injured,unprovoked,Spearfishing,tiger shark,male
1920,7,QLD,-20.9,151.7166667,injured,provoked,Fishing,tiger shark,male
1920,11,NSW,-32.2,152.55,injured,provoked,Other,wobbegong,male
1920,11,WA,-35.01666667,117.3333333,injured,unprovoked,Fishing,wobbegong,male
1920,11,WA,-31.98333333,115.7333333,injured,unprovoked,Surfing/Boarding,wobbegong,male
1920,12,QLD,-14.5,144.9166667,injured,provoked,Surfing/Boarding,Unknown,male
1920,12,NSW,-28.8,153.2666667,injured,unprovoked,Swimming,bull shark,male
1921,10,QLD,-18.23333333,146.65,injured,provoked,Surfing/Boarding,tiger shark,male
1921,10,QLD,-16.9,146.2333333,fatal,unprovoked,Swimming,tiger shark,male
1921,11,QLD,-27.43333333,153.15,fatal,unprovoked,Other,bull shark,male
1921,11,QLD,-27.43333333,153.15,injured,unprovoked,Spearfishing,bull shark,male
1921,12,QLD,-23.38333333,150.55,injured,unprovoked,Swimming,bull shark,male
1922,1,NSW,-32.85,151.8333333,injured,unprovoked,Swimming,white shark,male
1922,1,QLD,-19.45,146.6,fatal,unprovoked,Surfing/Boarding,bull shark,male
1922,2,NSW,-33.91666667,151.25,fatal,unprovoked,Diving/Snorkelling,white shark,male
1922,3,NSW,-33.91666667,151.25,fatal,unprovoked,Swimming,white shark,male
1922,12,QLD,-25.53333333,152.7,fatal,unprovoked,Swimming,tiger shark,male
1923,1,WA,-31.96666667,115.7666667,fatal,unprovoked,Diving/Snorkelling,bull shark,male
1923,1,NSW,-32.93333333,151.75,uninjured,provoked,Swimming,white shark,male
1923,3,QLD,-19.23333333,146.8166667,injured,unprovoked,Swimming,bull shark,male
1923,5,QLD,-16.85,146.15,fatal,provoked,Wading,tiger shark,male
1923,5,WA,-28.81666667,114.6166667,injured,provoked,Fishing,wobbegong,male
1923,6,QLD,-18.7,147.7666667,injured,provoked,Swimming,tiger shark,male
1923,6,NSW,-34.35,150.9166667,fatal,unprovoked,Kayaking/Paddling,white shark,male
1923,10,QLD,-10.56666667,142.2166667,injured,provoked,Swimming,tiger shark,male
1923,11,WA,-20,119.35,fatal,provoked,Surfing/Boarding,tiger shark,male
1923,11,WA,-20,119.35,fatal,provoked,Diving/Snorkelling,tiger shark,male
1923,12,NSW,-28.31666667,153.4,injured,unprovoked,Surfing/Boarding,bull shark,male
1924,1,NSW,-33.8,151.0166667,fatal,unprovoked,Surfing/Boarding,bull shark,male
1924,2,WA,-33.31666667,115.6333333,injured,unprovoked,Surfing/Boarding,wobbegong,male
1924,2,NSW,-33.9,151.2666667,injured,unprovoked,Surfing/Boarding,white shark,female
1924,4,NSW,-34.66666667,150.85,fatal,unprovoked,Swimming,white shark,male
1924,10,VIC,-37.83333333,144.9333333,injured,unprovoked,Surfing/Boarding,white shark,male
1925,3,NSW,-33.91666667,151.25,injured,unprovoked,Fishing,white shark,male
1925,3,NSW,-32.91666667,151.7833333,fatal,unprovoked,Kayaking/Paddling,white shark,male
1925,11,WA,-31.98333333,115.75,fatal,unprovoked,Swimming,tiger shark,male
1926,3,SA,-34.9,137,fatal,unprovoked,Spearfishing,white shark,female
1926,10,NSW,-29.45,153.1833333,injured,unprovoked,Surfing/Boarding,bull shark,male
1926,11,QLD,-10.56666667,142.2166667,injured,provoked,Surfing/Boarding,tiger shark,male
1926,12,QLD,-18.71666667,146.5666667,fatal,provoked,Surfing/Boarding,tiger shark,male
1927,1,QLD,-10.56666667,142.2166667,injured,provoked,Wading,tiger shark,male
1927,1,NSW,-34.05,151.0833333,fatal,unprovoked,Wading,tiger shark,male
1927,2,QLD,-27.46666667,153.0333333,uninjured,unprovoked,Swimming,bull shark,male
1927,3,NSW,-32.93333333,151.75,injured,unprovoked,Kayaking/Paddling,white shark,male
1927,4,QLD,-10.56666667,142.2166667,injured,provoked,Surfing/Boarding,tiger shark,male
1927,4,QLD,-10.56666667,142.2166667,injured,provoked,Surfing/Boarding,tiger shark,male
1927,5,QLD,-17.21666667,145.9666667,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1927,7,WA,-17.98333333,122.2333333,uninjured,provoked,Fishing,tiger shark,male
1928,1,QLD,-9.516666667,141.5666667,fatal,provoked,Fishing,tiger shark,male
1928,2,QLD,-14.15,144.5,fatal,provoked,Fishing,tiger shark,male
