Region,Council,Swim site,Year,Annual grade,Latitude,Longitude
Sydney Harbour,Woollahra Municipal Council,Nielsen Park,2025,Very Good,-33.849925000,151.266231000
Bellingen,Bellingen Shire Council,Dalhousie Creek,2025,Follow up,-30.523185000,153.026334000
Botany Bay,Randwick City Council,Yarra Bay,2025,Poor,-33.978245000,151.228228000
Illawarra Coast,Wollongong City Council,Thirroul Beach,2025,Good,-34.316363000,150.928090000
Port Hacking,Sutherland Shire Council,Lilli Pilli Baths,2025,Good,-34.069481000,151.110795000
Newcastle,Newcastle City Council,Merewether Beach,2025,Good,-32.948269000,151.757670000
Pittwater,Northern Beaches Council,Bayview Baths,2025,Poor,-33.658606000,151.299002000
Newcastle,Newcastle City Council,Burwood South Beach,2025,Very Good,-32.959228000,151.742197000
Sydney Harbour,Woollahra Municipal Council,Watsons Bay,2025,Good,-33.845115000,151.280546000
Sydney Harbour,Mosman Municipal Council,Edwards Beach,2025,Good,-33.821380000,151.252830000
Ballina,Ballina Shire Council,Shelly Beach (Ballina),2025,Very Good,-28.864416670,153.594210000
Southern Sydney,Sutherland Shire Council,Oak Park Beach,2025,Very Good,-34.069840000,151.156853000
Southern Sydney,Sutherland Shire Council,Shelly Beach (Sutherland),2025,Very Good,-34.064120000,151.155420000
Clarence Valley,Clarence Valley Council,Pippi Beach,2025,Follow up,-29.445467000,153.365536000
Central Coast North,Central Coast Council,Blue Bay,2025,Good,-33.355828000,151.501699000
Western Sydney,Blue Mountains City Council,Megalong Creek,2025,Poor,-33.732068000,150.235487000
Central Coast South,Central Coast Council,Umina Beach,2025,Good,-33.527822000,151.315662000
Illawarra Coast,Shellharbour City Council,Shellharbour Beach,2025,Very Good,-34.572297000,150.868308000
Sydney Harbour,Woollahra Municipal Council,Parsley Bay,2025,Good,-33.849889000,151.276441000
Clarence Valley,Clarence Valley Council,Iluka Bay,2025,Follow up,-29.408008000,153.348381000
